Consumer Price Index - All Urban Consumers
Original Data Value

Series Id: CUUR0000SA0L1E
Not Seasonally Adjusted
Area: U.S. city average
Item: All items less food and energy
Base Period: 1982-84=100
Years: 1996 to 2015

Date,Price
1/1/1996,163.4
2/1/1996,164.2
3/1/1996,164.9
4/1/1996,165
5/1/1996,165.1
6/1/1996,165.2
7/1/1996,165.5
8/1/1996,165.8
9/1/1996,166.4
10/1/1996,167
11/1/1996,167.2
12/1/1996,167
1/1/1997,167.5
2/1/1997,168.3
3/1/1997,169
4/1/1997,169.4
5/1/1997,169.3
6/1/1997,169.2
7/1/1997,169.5
8/1/1997,169.6
9/1/1997,170
10/1/1997,170.8
11/1/1997,170.8
12/1/1997,170.7
1/1/1998,171.2
2/1/1998,172.1
3/1/1998,172.6
4/1/1998,173
5/1/1998,173.1
6/1/1998,173
7/1/1998,173.3
8/1/1998,173.8
9/1/1998,174.2
10/1/1998,174.7
11/1/1998,174.8
12/1/1998,174.8
1/1/1999,175.3
2/1/1999,175.7
3/1/1999,176.2
4/1/1999,176.8
5/1/1999,176.6
6/1/1999,176.6
7/1/1999,176.9
8/1/1999,177.1
9/1/1999,177.7
10/1/1999,178.3
11/1/1999,178.4
12/1/1999,178.2
1/1/2000,178.8
2/1/2000,179.5
3/1/2000,180.5
4/1/2000,180.9
5/1/2000,180.9
6/1/2000,181
7/1/2000,181.3
8/1/2000,181.7
9/1/2000,182.3
10/1/2000,182.8
11/1/2000,183
12/1/2000,182.8
1/1/2001,183.5
2/1/2001,184.4
3/1/2001,185.3
4/1/2001,185.6
5/1/2001,185.5
6/1/2001,185.9
7/1/2001,186.2
8/1/2001,186.6
9/1/2001,187.1
10/1/2001,187.6
11/1/2001,188.1
12/1/2001,187.8
1/1/2002,188.2
2/1/2002,189.2
3/1/2002,189.8
4/1/2002,190.3
5/1/2002,190.2
6/1/2002,190.1
7/1/2002,190.3
8/1/2002,191
9/1/2002,191.3
10/1/2002,191.8
11/1/2002,191.8
12/1/2002,191.4
1/1/2003,191.8
2/1/2003,192.5
3/1/2003,193
4/1/2003,193.1
5/1/2003,193.2
6/1/2003,193
7/1/2003,193.2
8/1/2003,193.5
9/1/2003,193.6
10/1/2003,194.3
11/1/2003,193.9
12/1/2003,193.6
1/1/2004,194
2/1/2004,194.9
3/1/2004,196.1
4/1/2004,196.5
5/1/2004,196.5
6/1/2004,196.6
7/1/2004,196.6
8/1/2004,196.8
9/1/2004,197.4
10/1/2004,198.2
11/1/2004,198.1
12/1/2004,197.8
1/1/2005,198.4
2/1/2005,199.5
3/1/2005,200.7
4/1/2005,200.9
5/1/2005,200.8
6/1/2005,200.6
7/1/2005,200.8
8/1/2005,201
9/1/2005,201.3
10/1/2005,202.3
11/1/2005,202.3
12/1/2005,202.1
1/1/2006,202.6
2/1/2006,203.6
3/1/2006,204.9
4/1/2006,205.5
5/1/2006,205.7
6/1/2006,205.9
7/1/2006,206.2
8/1/2006,206.7
9/1/2006,207.2
10/1/2006,207.8
11/1/2006,207.6
12/1/2006,207.3
1/1/2007,208.009
2/1/2007,209.112
3/1/2007,209.923
4/1/2007,210.311
5/1/2007,210.316
6/1/2007,210.474
7/1/2007,210.756
8/1/2007,211.111
9/1/2007,211.628
10/1/2007,212.318
11/1/2007,212.435
12/1/2007,212.356
1/1/2008,213.138
2/1/2008,213.866
3/1/2008,214.866
4/1/2008,215.059
5/1/2008,215.18
6/1/2008,215.553
7/1/2008,216.045
8/1/2008,216.476
9/1/2008,216.862
10/1/2008,217.023
11/1/2008,216.69
12/1/2008,216.1
1/1/2009,216.719
2/1/2009,217.685
3/1/2009,218.639
4/1/2009,219.143
5/1/2009,219.128
6/1/2009,219.283
7/1/2009,219.35
8/1/2009,219.596
9/1/2009,220.137
10/1/2009,220.731
11/1/2009,220.384
12/1/2009,220.025
1/1/2010,220.086
2/1/2010,220.602
3/1/2010,221.059
4/1/2010,221.166
5/1/2010,221.193
6/1/2010,221.265
7/1/2010,221.258
8/1/2010,221.551
9/1/2010,221.907
10/1/2010,222.079
11/1/2010,222.077
12/1/2010,221.795
1/1/2011,222.177
2/1/2011,223.011
3/1/2011,223.69
4/1/2011,224.118
5/1/2011,224.534
6/1/2011,224.891
7/1/2011,225.164
8/1/2011,225.874
9/1/2011,226.289
10/1/2011,226.743
11/1/2011,226.859
12/1/2011,226.74
1/1/2015,239.248
2/1/2015,240.083
3/1/2015,241.067
4/1/2015,241.802
5/1/2015,242.119
6/1/2015,242.354
7/1/2015,242.436
8/1/2015,242.651
9/1/2015,243.359
